IDContrato;IDFornecedor;IDEvento;TipoServico;ValorContrato;Estado
901;209;1024;Transporte;10120;Finalizado
902;201;1049;Staff;16788;Finalizado
903;201;1047;Multimedia;7505;Finalizado
904;203;1025;Catering;4982;Ativo
905;210;1006;Multimedia;10297;Cancelado
906;201;1016;Staff;15511;Finalizado
907;209;1005;Staff;12426;Finalizado
908;204;1001;Staff;19893;Ativo
909;203;1037;Seguranca;8587;Cancelado
910;207;1041;Flores;14894;Ativo
911;205;1028;Flores;19919;Finalizado
912;202;1030;Mobiliario;14300;Ativo
913;205;1015;Transporte;18718;Cancelado
914;205;1007;Mobiliario;14081;Cancelado
915;208;1016;Flores;6412;Ativo
916;208;1041;Catering;13139;Cancelado
917;210;1002;Catering;6164;Cancelado
918;204;1023;Seguranca;2456;Finalizado
919;201;1011;Seguranca;4732;Cancelado
920;201;1044;Mobiliario;13499;Finalizado
921;202;1042;Flores;4038;Cancelado
922;206;1008;Catering;7360;Ativo
923;202;1050;Catering;1915;Ativo
924;206;1009;Catering;13781;Finalizado
925;208;1043;Flores;18058;Cancelado
926;203;1042;Transporte;13182;Cancelado
927;201;1037;Transporte;10805;Cancelado
928;208;1033;Seguranca;8596;Finalizado
929;202;1048;Flores;10551;Finalizado
930;209;1049;Multimedia;9389;Ativo
931;206;1001;Catering;13120;Finalizado
932;201;1050;Multimedia;11620;Cancelado
933;207;1020;Multimedia;6702;Cancelado
934;207;1022;Decoracao;7877;Cancelado
935;204;1030;Staff;18225;Cancelado
936;208;1007;Catering;17241;Cancelado
937;203;1004;Multimedia;3122;Cancelado
938;202;1043;Multimedia;17416;Ativo
939;203;1017;Staff;3109;Finalizado
940;206;1044;Staff;9266;Finalizado
941;209;1030;Staff;10731;Finalizado
942;207;1031;Multimedia;19829;Ativo
943;204;1019;Transporte;13580;Cancelado
944;202;1003;Flores;2677;Cancelado
945;206;1031;Transporte;14556;Ativo
946;206;1031;Seguranca;13491;Finalizado
947;206;1040;Flores;13397;Ativo
948;201;1012;Flores;6606;Ativo
949;202;1032;Transporte;15884;Cancelado
950;203;1006;Seguranca;4349;Ativo
