IDEvento	IDCliente
1042	406
1011	408
1033	404
1031	405
1033	408
1042	404
1010	406
1047	407
1017	402
1048	408
1036	406
1038	407
1045	404
1034	407
1044	407
1034	403
1006	405
1020	407
1048	408
1048	406
1031	403
1028	405
1025	404
1032	406
1032	406
1038	408
1015	401
1031	407
1026	402
1003	406
1017	405
1024	405
1019	401
1007	401
1002	402
1004	402
1003	406
1045	402
1033	402
1046	402
1040	401
1029	403
1021	401
1001	408
1032	405
1024	404
1045	404
1042	402
1015	402
1018	407
1009	407
1050	401
1004	406
1036	406
1027	401
1022	407
1032	401
1044	406
1021	408
1010	407
1044	406
1048	402
1032	408
1040	401
1038	408
1035	404
1039	402
1023	401
1029	403
1029	403
1011	405
1043	407
1050	404
1027	402
1039	402
1020	402
1010	404
1018	402
1017	401
1010	405
1048	406
1026	407
1037	406
1026	405
1033	408
1025	404
1047	402
1029	405
1027	401
1006	408
1027	404
1027	408
1044	402
1036	402
1034	403
1001	408
1025	404
1039	406
1014	401
1033	407
